Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Caleb Douglas,WR,MIA,0.0,0.0,0.0,0.9,3.1,0.0,41.2,549.1,2.6,112.0,112.02,0.0,0.0,-0.34,111.7,73,-63.8
David Njoku,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,43.2,444.7,3.9,111.1,111.07,0.0,0.0,-0.35,110.7,27,-41.3
Tyler Allgeier,RB,ARZ,0.0,0.0,0.0,133.0,538.7,3.8,19.2,132.0,0.3,110.9,110.87,0.0,0.0,-1.22,109.7,48,-70.4
Jauan Jennings,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,42.6,493.2,2.8,108.7,108.72,0.0,0.0,-0.34,108.4,74,-67.1
Jerry Jeudy,WR,CLE,0.0,0.0,0.0,0.8,3.3,0.0,39.6,528.3,2.6,108.4,108.36,0.0,0.0,-0.32,108.0,75,-67.5
Pat Freiermuth,TE,PIT,0.0,0.0,0.0,0.0,0.0,0.0,44.6,457.1,2.8,107.1,107.11,0.0,0.0,-0.36,106.8,28,-45.2
Emmett Johnson,RB,KC,0.0,0.0,0.0,101.2,417.5,3.0,24.9,178.1,0.8,107.3,107.26,0.0,0.0,-1.01,106.3,49,-73.8
Darren Waller,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,41.6,434.3,3.3,104.8,104.83,0.0,0.0,-0.33,104.5,29,-47.5
Gunnar Helm,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.0,46.5,419.6,2.7,104.7,104.66,0.0,0.0,-0.37,104.3,30,-47.7
Jaylin Noel,WR,HOU,0.0,0.0,0.0,3.1,16.8,0.0,41.4,463.5,2.5,104.4,104.43,0.0,0.0,-0.36,104.1,76,-71.4
Deshaun Watson,QB,CLE,1637.4,7.9,6.0,32.3,149.2,0.9,0.0,0.0,0.0,111.4,105.42,0.0,0.0,-3.4,102.0,33,-157.5
Zachariah Branch,WR,ATL,0.0,0.0,0.0,6.0,33.2,0.3,36.9,452.5,2.3,101.1,101.07,0.0,0.0,-0.34,100.7,77,-74.8
Travis Hunter,WR,JAX,0.0,0.0,0.0,2.2,12.1,0.0,37.2,449.0,2.8,100.1,100.11,0.0,0.0,-0.32,99.8,78,-75.7
Malik Washington,WR,MIA,0.0,0.0,0.0,10.5,62.2,0.2,39.6,421.6,1.7,99.4,99.38,0.0,0.0,-0.4,99.0,79,-76.5
Charlie Kolar,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,35.6,398.2,3.6,97.0,97.02,0.0,0.0,-0.28,96.7,31,-55.3
Calvin Ridley,WR,TEN,0.0,0.0,0.0,2.8,14.2,0.0,31.9,472.8,2.5,95.6,95.6,0.0,0.0,-0.28,95.3,80,-80.2
Chris Bell,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,36.3,473.6,1.9,95.1,95.06,0.0,0.0,-0.29,94.8,81,-80.7
Tank Bigsby,RB,PHI,0.0,0.0,0.0,117.2,526.9,4.0,9.0,63.5,0.3,93.8,93.84,0.0,0.0,-1.01,92.8,50,-87.3
Dylan Sampson,RB,CLE,0.0,0.0,0.0,71.1,279.7,1.4,29.8,206.6,1.1,93.4,93.43,0.0,0.0,-0.81,92.6,51,-87.5
Zach Charbonnet,RB,SEA,0.0,0.0,0.0,95.6,390.4,4.2,15.4,111.3,0.4,93.2,93.17,0.0,0.0,-0.89,92.3,52,-87.8
Tua Tagovailoa,QB,ATL,1717.8,8.5,5.7,13.1,37.0,0.1,0.0,0.0,0.0,101.3,95.61,0.0,0.0,-3.3,92.3,34,-167.2
Antonio Williams,WR,WAS,0.0,0.0,0.0,1.6,8.8,0.0,33.0,420.2,2.4,90.3,90.3,0.0,0.0,-0.28,90.0,82,-85.5
Ted Hurst III,WR,TB,0.0,0.0,0.0,0.0,0.0,0.0,32.6,423.1,2.5,89.9,89.91,0.0,0.0,-0.26,89.6,83,-85.9
Josh Jacobs,RB,GB,0.0,0.0,0.0,94.3,391.4,4.2,11.9,92.4,0.5,88.5,88.48,0.0,0.0,-0.85,87.6,53,-92.5
Isaac TeSlaa,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,29.1,376.4,3.4,87.1,87.14,0.0,0.0,-0.23,86.9,84,-88.6
Colby Parkinson,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,33.4,350.7,3.1,87.1,87.07,0.0,0.0,-0.27,86.8,32,-65.2
Nicholas Singleton,RB,TEN,0.0,0.0,0.0,74.8,320.8,2.2,21.5,156.2,0.7,86.6,86.6,0.0,0.0,-0.77,85.8,54,-94.3
Devaughn Vele,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,33.9,370.6,2.5,86.0,85.96,0.0,0.0,-0.27,85.7,85,-89.8
Brian Robinson,RB,ATL,0.0,0.0,0.0,113.5,467.6,3.9,8.3,56.1,0.1,84.7,84.67,0.0,0.0,-0.97,83.7,55,-96.4
Cooper Kupp,WR,SEA,0.0,0.0,0.0,0.8,3.4,0.0,30.8,381.4,2.3,83.1,83.08,0.0,0.0,-0.25,82.8,86,-92.7
Evan Engram,TE,DEN,0.0,0.0,0.0,0.0,0.0,0.0,36.3,351.3,1.9,82.8,82.83,0.0,0.0,-0.29,82.5,33,-69.5
Rashod Bateman,WR,BAL,0.0,0.0,0.0,0.4,2.8,0.0,25.6,393.0,2.6,80.8,80.78,0.0,0.0,-0.21,80.6,87,-94.9
Michael Mayer,TE,LV,0.0,0.0,0.0,0.0,0.0,0.0,35.0,345.3,1.7,79.7,79.73,0.0,0.0,-0.28,79.4,34,-72.6
Braelon Allen,RB,NYJ,0.0,0.0,0.0,85.7,359.9,3.0,13.7,96.3,0.4,79.7,79.72,0.0,0.0,-0.8,78.9,56,-101.2
Germie Bernard,WR,PIT,0.0,0.0,0.0,1.9,10.2,0.0,28.9,369.5,2.0,78.9,78.87,0.0,0.0,-0.25,78.6,88,-96.9
Darnell Mooney,WR,NYG,0.0,0.0,0.0,1.9,11.3,0.0,27.1,372.6,2.2,78.7,78.69,0.0,0.0,-0.23,78.5,89,-97.0
Tank Dell,WR,HOU,0.0,0.0,0.0,3.7,19.9,0.0,28.0,347.0,2.3,78.5,78.49,0.0,0.0,-0.25,78.2,90,-97.3
Alvin Kamara,RB,NO,0.0,0.0,0.0,75.0,297.4,1.7,21.0,143.0,0.6,78.8,78.84,0.0,0.0,-0.77,78.1,57,-102.0
Mike Gesicki,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.0,29.4,297.0,3.2,78.3,78.3,0.0,0.0,-0.24,78.1,35,-73.9
Jack Bech,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,30.7,362.3,1.9,78.3,78.33,0.0,0.0,-0.25,78.1,91,-97.4
Ray Davis,RB,BUF,0.0,0.0,0.0,79.9,338.6,2.1,15.8,118.6,0.6,77.7,77.72,0.0,0.0,-0.77,77.0,58,-103.1
Xavier Legette,WR,CAR,0.0,0.0,0.0,1.8,8.7,0.0,28.7,330.5,2.2,75.8,75.82,0.0,0.0,-0.24,75.6,92,-99.9
Bryce Lance,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,28.9,352.0,1.9,75.5,75.5,0.0,0.0,-0.23,75.3,93,-100.2
Elijah Arroyo,TE,SEA,0.0,0.0,0.0,0.0,0.0,0.0,29.4,314.5,2.4,75.3,75.25,0.0,0.0,-0.24,75.0,36,-77.0
Kaelon Black,RB,SF,0.0,0.0,0.0,77.0,326.3,2.1,15.4,119.8,0.5,75.6,75.61,0.0,0.0,-0.74,74.9,59,-105.2
Jahan Dotson,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,28.2,359.3,1.8,74.9,74.93,0.0,0.0,-0.23,74.7,94,-100.8
Kaleb Johnson,RB,GB,0.0,0.0,0.0,72.4,291.1,2.0,18.1,122.2,0.6,75.0,75.03,0.0,0.0,-0.72,74.3,60,-105.8
Mason Taylor,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,33.5,301.8,1.8,74.5,74.48,0.0,0.0,-0.27,74.2,37,-77.8
Oronde Gadsden,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,28.2,309.3,2.4,73.5,73.53,0.0,0.0,-0.23,73.3,38,-78.7
Keon Coleman,WR,BUF,0.0,0.0,0.0,1.0,3.8,0.0,23.4,322.6,2.9,73.4,73.44,0.0,0.0,-0.2,73.2,95,-102.3
Elijah Sarratt,WR,BAL,0.0,0.0,0.0,0.0,0.0,0.0,25.2,337.4,2.2,72.1,72.14,0.0,0.0,-0.2,71.9,96,-103.6
Jake Tonges,TE,SF,0.0,0.0,0.0,0.0,0.0,0.0,29.1,286.8,2.3,71.6,71.58,0.0,0.0,-0.23,71.3,39,-80.7
Eli Stowers,TE,PHI,0.0,0.0,0.0,2.6,10.5,0.0,27.3,293.4,2.2,70.9,70.89,0.0,0.0,-0.24,70.7,40,-81.3
Troy Franklin,WR,DEN,0.0,0.0,0.0,1.1,5.9,0.0,25.0,304.8,2.4,70.5,70.47,0.0,0.0,-0.21,70.3,97,-105.2
Malik Benson,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,26.0,327.2,1.9,70.1,70.12,0.0,0.0,-0.21,69.9,98,-105.6
Kyle Williams,WR,NE,0.0,0.0,0.0,2.3,9.0,0.0,22.5,320.8,2.4,69.9,69.88,0.0,0.0,-0.2,69.7,99,-105.8
Tyquan Thornton,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,21.9,325.9,2.4,68.9,68.89,0.0,0.0,-0.18,68.7,100,-106.8
Tory Horton,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0,23.8,323.5,2.1,68.8,68.75,0.0,0.0,-0.19,68.6,101,-106.9
Erick All Jr.,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.0,28.2,283.8,1.8,67.4,67.38,0.0,0.0,-0.23,67.2,41,-84.8
Darius Slayton,WR,NYG,0.0,0.0,0.0,1.8,8.4,0.0,24.0,322.5,1.7,67.3,67.29,0.0,0.0,-0.21,67.1,102,-108.4
Kaytron Allen,RB,WAS,0.0,0.0,0.0,73.7,310.2,1.5,14.6,104.6,0.4,67.5,67.48,0.0,0.0,-0.71,66.8,61,-113.3
Theo Johnson,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.0,28.0,287.6,1.7,67.0,66.96,0.0,0.0,-0.22,66.7,42,-85.3
DeMario Douglas,WR,NE,0.0,0.0,0.0,5.4,28.0,0.1,25.2,294.9,1.4,66.5,66.49,0.0,0.0,-0.24,66.2,103,-109.3
Skyler Bell,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,23.8,311.1,1.9,66.3,66.31,0.0,0.0,-0.19,66.1,104,-109.4
Elic Ayomanor,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,24.4,312.0,1.7,65.8,65.8,0.0,0.0,-0.2,65.6,105,-109.9
Andrei Iosivas,WR,CIN,0.0,0.0,0.0,0.8,4.6,0.0,22.4,270.5,2.4,64.3,64.31,0.0,0.0,-0.19,64.1,106,-111.4
Kimani Vidal,RB,LAC,0.0,0.0,0.0,61.1,256.0,2.0,12.9,94.8,0.7,64.2,64.18,0.0,0.0,-0.59,63.6,62,-116.5
Eli Raridon,TE,NE,0.0,0.0,0.0,0.0,0.0,0.0,26.3,266.0,1.8,63.7,63.7,0.0,0.0,-0.21,63.5,43,-88.5
Brenen Thompson,WR,LAC,0.0,0.0,0.0,1.2,6.5,0.0,23.0,283.6,1.9,63.4,63.41,0.0,0.0,-0.19,63.2,107,-112.3
Joshua Palmer,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,23.9,296.6,1.5,62.6,62.56,0.0,0.0,-0.19,62.4,108,-113.1
Christian Kirk,WR,SF,0.0,0.0,0.0,0.9,3.5,0.0,22.6,295.0,1.6,62.1,62.05,0.0,0.0,-0.19,61.9,109,-113.6
Tyrone Tracy Jr.,RB,NYG,0.0,0.0,0.0,67.9,290.5,1.2,12.8,92.5,0.7,62.5,62.5,0.0,0.0,-0.65,61.9,63,-118.2
Darnell Washington,TE,PIT,0.0,0.0,0.0,0.0,0.0,0.0,25.6,250.4,1.9,62.0,62.04,0.0,0.0,-0.2,61.8,44,-90.2
Xavier Hutchinson,WR,HOU,0.0,0.0,0.0,1.1,6.6,0.0,23.1,282.8,1.4,60.4,60.44,0.0,0.0,-0.19,60.2,110,-115.3
Najee Harris,RB,NYG,0.0,0.0,0.0,53.9,221.0,1.6,14.9,104.0,0.6,60.6,60.6,0.0,0.0,-0.55,60.0,64,-120.1
Kirk Cousins,QB,LV,1091.0,5.9,3.4,3.0,5.5,0.1,0.0,0.0,0.0,65.0,61.59,0.0,0.0,-2.17,59.4,35,-200.1
Roman Wilson,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,22.2,274.6,1.5,58.7,58.66,0.0,0.0,-0.18,58.5,111,-117.0
Demarcus Robinson,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,21.7,286.5,1.3,58.2,58.15,0.0,0.0,-0.17,58.0,112,-117.5
Jacob Saylors,RB,DET,0.0,0.0,0.0,0.0,0.0,3.2,18.9,143.4,0.7,56.6,56.64,0.0,0.0,-0.15,56.5,65,-123.6
Demond Claiborne,RB,MIN,0.0,0.0,0.0,50.6,206.3,1.5,15.0,100.4,0.4,57.1,57.07,0.0,0.0,-0.52,56.5,66,-123.6
Matt Hibner,TE,BAL,0.0,0.0,0.0,0.0,0.0,0.0,23.6,237.5,1.5,56.4,56.35,0.0,0.0,-0.19,56.2,45,-95.8
Chimere Dike,WR,TEN,0.0,0.0,0.0,9.8,51.0,0.8,17.2,194.5,1.6,56.2,56.15,0.0,0.0,-0.22,55.9,113,-119.6
Hollywood Brown,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,20.1,249.4,1.8,55.8,55.84,0.0,0.0,-0.16,55.7,114,-119.8
Cole Kmet,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.0,22.1,217.6,1.9,55.3,55.26,0.0,0.0,-0.18,55.1,46,-96.9
Justin Fields,QB,KC,641.0,3.7,2.4,25.3,133.3,1.2,0.0,0.0,0.0,58.6,56.17,0.0,0.0,-1.33,54.8,36,-204.7
Colbie Young,WR,CIN,0.0,0.0,0.0,0.0,0.0,0.0,19.9,253.7,1.5,54.3,54.27,0.0,0.0,-0.16,54.1,115,-121.4
Jalen Tolbert,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,21.4,262.7,1.1,54.3,54.27,0.0,0.0,-0.17,54.1,116,-121.4
Dawson Knox,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.0,19.4,210.6,2.2,53.7,53.66,0.0,0.0,-0.16,53.5,47,-98.5
Oscar Delp,TE,NO,0.0,0.0,0.0,0.0,0.0,0.0,21.9,227.2,1.5,53.6,53.62,0.0,0.0,-0.18,53.4,48,-98.6
Kendrick Bourne,WR,ARZ,0.0,0.0,0.0,0.8,3.4,0.0,21.0,243.7,1.1,52.3,52.31,0.0,0.0,-0.17,52.1,117,-123.4
Chris Brooks,RB,GB,0.0,0.0,0.0,23.4,104.4,1.1,17.0,118.1,1.1,52.5,52.45,0.0,0.0,-0.32,52.1,67,-128.0
Noah Gray,TE,KC,0.0,0.0,0.0,0.0,0.0,0.0,22.5,220.0,1.2,51.7,51.7,0.0,0.0,-0.18,51.5,49,-100.5
Brandon Aiyuk,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,18.3,237.2,1.4,50.4,50.42,0.0,0.0,-0.15,50.3,118,-125.2
Samaje Perine,RB,CIN,0.0,0.0,0.0,46.4,201.2,1.4,11.0,80.7,0.5,50.6,50.59,0.0,0.0,-0.46,50.1,68,-130.0
Tyler Higbee,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,20.6,212.9,1.4,50.3,50.29,0.0,0.0,-0.16,50.1,50,-101.9
Justice Hill,RB,BAL,0.0,0.0,0.0,20.4,92.7,0.5,17.7,149.6,0.9,50.3,50.33,0.0,0.0,-0.3,50.0,69,-130.1
Malik Davis,RB,DAL,0.0,0.0,0.0,49.7,215.4,1.8,9.3,67.5,0.2,49.6,49.59,0.0,0.0,-0.47,49.1,70,-131.0
Ricky Pearsall,WR,SF,0.0,0.0,0.0,1.1,6.9,0.0,17.3,239.4,1.2,49.1,49.13,0.0,0.0,-0.15,49.0,119,-126.5
Ben Sinnott,TE,WAS,0.0,0.0,0.0,1.0,3.6,0.0,19.7,192.1,1.6,48.9,48.87,0.0,0.0,-0.17,48.7,51,-103.3
Max Klare,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,18.5,205.4,1.6,48.6,48.64,0.0,0.0,-0.15,48.5,52,-103.5
Seth McGowan,RB,IND,0.0,0.0,0.0,46.8,191.7,1.2,12.2,86.5,0.3,49.0,49.02,0.0,0.0,-0.47,48.5,71,-131.6
KaVontae Turpin,WR,DAL,0.0,0.0,0.0,11.4,63.1,0.2,14.4,180.5,1.4,48.4,48.36,0.0,0.0,-0.21,48.2,120,-127.3
Tutu Atwell,WR,LAR,0.0,0.0,0.0,2.3,12.1,0.0,18.2,250.3,0.6,48.0,48.04,0.0,0.0,-0.16,47.9,121,-127.6
Jayden Higgins,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,18.3,221.7,1.0,46.5,46.47,0.0,0.0,-0.15,46.3,122,-129.2
Marlin Klein,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,19.3,190.7,1.3,46.2,46.17,0.0,0.0,-0.15,46.0,53,-106.0
Jonnu Smith,TE,GB,0.0,0.0,0.0,0.0,0.0,0.0,19.2,193.4,1.2,45.7,45.74,0.0,0.0,-0.15,45.6,54,-106.4
Luke Musgrave,TE,GB,0.0,0.0,0.0,0.0,0.0,0.0,19.1,188.6,1.3,45.8,45.76,0.0,0.0,-0.15,45.6,55,-106.4
Jack Endries,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.0,19.0,191.1,1.2,45.3,45.31,0.0,0.0,-0.15,45.2,56,-106.8
Marvin Mims Jr.,WR,DEN,0.0,0.0,0.0,5.4,29.4,0.1,16.3,176.6,1.3,45.3,45.3,0.0,0.0,-0.17,45.1,123,-130.4
Zavion Thomas,WR,CHI,0.0,0.0,0.0,4.8,22.7,0.1,15.6,198.9,1.1,45.0,44.96,0.0,0.0,-0.16,44.8,124,-130.7
Jaylen Wright,RB,MIA,0.0,0.0,0.0,52.4,220.6,1.3,8.2,58.7,0.2,45.1,45.13,0.0,0.0,-0.48,44.6,72,-135.5
Elijah Higgins,TE,ARZ,0.0,0.0,0.0,0.0,0.0,0.0,19.9,180.6,1.1,44.6,44.56,0.0,0.0,-0.16,44.4,57,-107.6
Sean Tucker,RB,TB,0.0,0.0,0.0,48.7,210.8,2.1,5.8,39.4,0.2,44.6,44.62,0.0,0.0,-0.44,44.2,73,-135.9
Odell Beckham Jr.,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,16.1,208.7,1.2,44.2,44.17,0.0,0.0,-0.13,44.0,125,-131.5
Jordan James,RB,SF,0.0,0.0,0.0,49.6,209.5,1.4,7.9,58.5,0.2,44.3,44.3,0.0,0.0,-0.46,43.8,74,-136.3
Josh Oliver,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.0,18.3,174.3,1.3,43.5,43.53,0.0,0.0,-0.15,43.4,58,-108.6
George Holani,RB,SEA,0.0,0.0,0.0,43.8,180.2,1.0,10.3,70.2,0.3,43.1,43.14,0.0,0.0,-0.43,42.7,75,-137.4
Kalif Raymond,WR,CHI,0.0,0.0,0.0,3.0,16.0,0.0,17.3,191.0,0.8,42.8,42.8,0.0,0.0,-0.16,42.6,126,-132.9
James Conner,RB,ARZ,0.0,0.0,0.0,40.5,168.8,1.0,9.8,73.5,0.4,42.4,42.43,0.0,0.0,-0.4,42.0,76,-138.1
Savion Williams,WR,GB,0.0,0.0,0.0,7.1,36.4,0.2,14.3,163.1,1.1,42.1,42.05,0.0,0.0,-0.17,41.9,127,-133.6
CJ Daniels,WR,LAR,0.0,0.0,0.0,0.0,0.0,0.0,14.3,198.9,1.1,40.8,40.79,0.0,0.0,-0.11,40.7,128,-134.8
Daniel Bellinger,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.0,18.5,169.7,0.9,40.9,40.87,0.0,0.0,-0.15,40.7,59,-111.3
Isaiah Bond,WR,CLE,0.0,0.0,0.0,2.4,13.8,0.0,14.4,193.5,0.9,40.5,40.53,0.0,0.0,-0.13,40.4,129,-135.1
Adam Randall,RB,BAL,0.0,0.0,0.0,36.9,155.3,1.3,9.1,62.6,0.3,40.5,40.49,0.0,0.0,-0.37,40.1,77,-140.0
Noah Fant,TE,NO,0.0,0.0,0.0,0.0,0.0,0.0,17.7,165.5,1.0,40.3,40.25,0.0,0.0,-0.14,40.1,60,-111.9
Kendre Miller,RB,NO,0.0,0.0,0.0,44.2,190.0,1.0,7.8,53.4,0.3,39.9,39.94,0.0,0.0,-0.42,39.5,78,-140.6
Konata Mumpfield,WR,LAR,0.0,0.0,0.0,0.0,0.0,0.0,13.7,181.8,1.2,39.1,39.08,0.0,0.0,-0.11,39.0,130,-136.5
Isaiah Davis,RB,NYJ,0.0,0.0,0.0,24.8,109.2,0.9,12.6,88.4,0.2,39.0,38.96,0.0,0.0,-0.3,38.7,79,-141.4
Barion Brown,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,15.6,183.6,0.8,38.8,38.76,0.0,0.0,-0.12,38.6,131,-136.9
Tez Johnson,WR,TB,0.0,0.0,0.0,2.3,13.0,0.0,13.5,161.0,1.3,38.7,38.7,0.0,0.0,-0.13,38.6,132,-136.9
Chris Brazzell II,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,13.4,175.4,1.2,38.1,38.14,0.0,0.0,-0.11,38.0,133,-137.5
Emanuel Wilson,RB,SEA,0.0,0.0,0.0,40.2,170.6,1.2,7.4,51.7,0.2,38.0,38.03,0.0,0.0,-0.38,37.6,80,-142.5
Carson Beck,QB,ARZ,594.5,3.7,2.2,7.8,29.9,0.2,0.0,0.0,0.0,40.6,38.37,0.0,0.0,-1.21,37.2,37,-222.3
Sam Roush,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.0,16.1,152.3,1.0,37.3,37.33,0.0,0.0,-0.13,37.2,61,-114.8
Kevin Coleman Jr.,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,16.4,205.5,0.0,37.0,36.95,0.0,0.0,-0.13,36.8,134,-138.7
LeQuint Allen Jr.,RB,JAX,0.0,0.0,0.0,15.6,62.6,0.3,14.7,100.1,0.6,36.4,36.37,0.0,0.0,-0.24,36.1,81,-144.0
Mack Hollins,WR,NE,0.0,0.0,0.0,0.0,0.0,0.0,12.7,166.4,1.1,35.9,35.94,0.0,0.0,-0.1,35.8,135,-139.7
John Bates,TE,WAS,0.0,0.0,0.0,0.0,0.0,0.0,15.4,143.6,1.0,35.8,35.76,0.0,0.0,-0.12,35.6,62,-116.4
DJ Giddens,RB,IND,0.0,0.0,0.0,32.0,131.7,0.9,9.1,62.3,0.2,35.1,35.1,0.0,0.0,-0.33,34.8,82,-145.3
Ja'Tavion Sanders,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,15.5,139.9,0.9,34.9,34.89,0.0,0.0,-0.12,34.8,63,-117.2
Jordan Whittington,WR,LAR,0.0,0.0,0.0,0.8,5.0,0.0,13.3,154.7,0.9,34.7,34.67,0.0,0.0,-0.11,34.6,136,-140.9
Isiah Pacheco,RB,DET,0.0,0.0,0.0,41.8,176.1,1.4,4.6,31.5,0.2,35.0,34.96,0.0,0.0,-0.37,34.6,83,-145.5
Tommy Tremble,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,13.9,134.6,1.1,34.0,33.96,0.0,0.0,-0.11,33.8,64,-118.2
Ollie Gordon II,RB,MIA,0.0,0.0,0.0,40.2,156.4,1.2,5.7,40.2,0.2,33.8,33.76,0.0,0.0,-0.37,33.4,84,-146.7
Ashton Dulin,WR,IND,0.0,0.0,0.0,1.7,11.2,0.0,12.1,154.9,0.8,33.5,33.51,0.0,0.0,-0.11,33.4,137,-142.1
Mitchell Evans,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,13.9,136.1,0.9,32.9,32.91,0.0,0.0,-0.11,32.8,65,-119.2
Brashard Smith,RB,KC,0.0,0.0,0.0,17.4,73.0,0.5,10.5,77.5,0.5,31.6,31.55,0.0,0.0,-0.22,31.3,85,-148.8
Thomas Fidone II,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.0,13.1,131.5,0.8,31.1,31.05,0.0,0.0,-0.1,30.9,66,-121.1
Reggie Virgil,WR,ARZ,0.0,0.0,0.0,0.0,0.0,0.0,12.5,147.5,0.6,30.9,30.85,0.0,0.0,-0.1,30.8,138,-144.7
Jelani Woods,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,12.9,123.4,0.8,30.0,30.04,0.0,0.0,-0.1,29.9,67,-122.1
Treylon Burks,WR,WAS,0.0,0.0,0.0,0.6,2.4,0.0,10.9,139.4,0.8,29.9,29.88,0.0,0.0,-0.09,29.8,139,-145.7
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.0,13.1,122.5,0.7,29.6,29.55,0.0,0.0,-0.1,29.4,68,-122.6
Brock Wright,TE,DET,0.0,0.0,0.0,0.0,0.0,0.0,11.2,104.3,1.3,29.4,29.43,0.0,0.0,-0.09,29.3,69,-122.7
Ty Johnson,RB,BUF,0.0,0.0,0.0,17.6,74.1,0.6,8.4,76.0,0.4,29.4,29.41,0.0,0.0,-0.21,29.2,86,-150.9
Tanner Koziol,TE,JAX,0.0,0.0,0.0,0.0,0.0,0.0,12.2,121.5,0.8,29.2,29.15,0.0,0.0,-0.1,29.1,70,-122.9
John Metchie III,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,10.8,129.6,0.8,28.6,28.56,0.0,0.0,-0.09,28.5,140,-147.0
Olamide Zaccheaus,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,11.8,129.5,0.6,28.4,28.35,0.0,0.0,-0.09,28.3,141,-147.2
Nate Boerkircher,TE,JAX,0.0,0.0,0.0,0.0,0.0,0.0,11.5,108.9,1.0,28.4,28.39,0.0,0.0,-0.09,28.3,71,-123.7
Devin Singletary,RB,NYG,0.0,0.0,0.0,32.9,129.4,0.9,5.5,39.3,0.1,28.4,28.37,0.0,0.0,-0.31,28.1,87,-152.0
Roschon Johnson,RB,CHI,0.0,0.0,0.0,30.6,120.2,0.8,6.1,40.7,0.2,28.2,28.19,0.0,0.0,-0.29,27.9,88,-152.2
Luke McCaffrey,WR,WAS,0.0,0.0,0.0,0.0,0.0,0.0,10.2,133.7,0.7,27.8,27.77,0.0,0.0,-0.08,27.7,142,-147.8
Tahj Brooks,RB,CIN,0.0,0.0,0.0,31.7,131.7,1.0,4.2,30.4,0.2,27.6,27.61,0.0,0.0,-0.29,27.3,89,-152.8
Jerome Ford,RB,WAS,0.0,0.0,0.0,26.8,108.0,0.7,6.7,45.4,0.2,27.4,27.44,0.0,0.0,-0.27,27.2,90,-152.9
Jackson Hawes,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.0,10.2,102.0,1.1,27.0,27.0,0.0,0.0,-0.08,26.9,72,-125.1
Tai Felton,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,10.5,129.0,0.6,27.0,27.0,0.0,0.0,-0.08,26.9,143,-148.6
Will Shipley,RB,PHI,0.0,0.0,0.0,17.0,71.5,0.3,9.7,70.8,0.2,26.9,26.93,0.0,0.0,-0.21,26.7,91,-153.4
