Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Baker Mayfield,QB,TB,3415.1,23.3,11.1,52.0,279.7,1.2,0.0,0.0,0.0,253.9,242.77,2.58,0.0,-6.61,238.7,23,-20.8
Drake London,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,88.2,1110.6,6.6,238.9,238.86,0.0,0.0,-0.71,238.2,10,62.7
Brock Bowers,TE,LV,0.0,0.0,0.0,3.6,14.8,0.1,93.7,984.4,7.3,238.0,238.02,0.0,0.0,-0.78,237.2,1,85.2
Trey McBride,TE,ARZ,0.0,0.0,0.0,0.0,0.0,0.0,101.5,997.0,6.1,237.8,237.8,0.0,0.0,-0.81,237.0,2,85.0
DeVonta Smith,WR,PHI,0.0,0.0,0.0,1.0,4.1,0.0,87.1,1111.7,6.2,235.9,235.88,0.0,0.0,-0.7,235.2,11,59.7
Javonte Williams,RB,DAL,0.0,0.0,0.0,248.8,1090.3,9.7,32.7,206.4,1.5,229.6,229.57,0.0,7.89,-2.25,235.2,16,55.1
Chris Olave,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1110.6,5.8,231.9,231.86,0.0,0.0,-0.69,231.2,12,55.7
C.J. Stroud,QB,HOU,3636.6,20.5,11.7,50.3,214.6,1.3,0.0,0.0,0.0,245.0,233.32,4.68,0.0,-6.94,231.1,24,-28.4
George Pickens,WR,DAL,0.0,0.0,0.0,1.0,4.1,0.0,74.8,1063.7,7.6,227.2,227.18,0.0,0.0,-0.61,226.6,13,51.1
Cam Ward,QB,TEN,3686.3,18.2,12.8,49.6,213.9,2.1,0.0,0.0,0.0,241.4,228.64,5.25,0.0,-7.63,226.3,25,-33.2
Rashee Rice,WR,KC,0.0,0.0,0.0,5.3,29.0,0.5,80.2,963.9,7.3,226.3,226.29,0.0,0.0,-0.68,225.6,14,50.1
Travis Etienne Jr.,RB,NO,0.0,0.0,0.0,239.9,1025.3,5.6,41.4,334.5,1.8,221.8,221.78,0.0,5.9,-2.25,225.4,17,45.3
Jaylen Waddle,WR,DEN,0.0,0.0,0.0,2.7,16.1,0.1,80.1,1031.4,6.4,223.9,223.85,0.0,0.0,-0.66,223.2,15,47.7
Zay Flowers,WR,BAL,0.0,0.0,0.0,10.5,56.4,0.2,76.3,1065.7,5.6,223.3,223.31,0.0,0.0,-0.69,222.6,16,47.1
Bryce Young,QB,CAR,3274.3,20.0,11.5,50.6,247.0,1.8,0.0,0.0,0.0,235.0,223.47,1.62,0.0,-6.76,218.3,26,-41.2
Cam Skattebo,RB,NYG,0.0,0.0,0.0,218.9,919.6,6.5,42.2,305.4,1.8,214.5,214.5,0.0,3.13,-2.09,215.5,18,35.4
Emeka Egbuka,WR,TB,0.0,0.0,0.0,1.1,6.4,0.0,70.2,1029.2,7.0,215.8,215.76,0.0,0.0,-0.57,215.2,17,39.7
