PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Ladd McConkey,WR,LAC,18.0762263277,,0,0,0,0,0,1.5,7.7,0.1,,117.3,76.9,977.6,5.9,211.4
Luther Burden III,WR,CHI,17.5637426639,,0,0,0,0,0,8.3,47.2,0.2,,114.3,75.8,952,5.5,209.9
Harold Fannin Jr.,TE,CLE,17.0292365103,,0,0,0,0,0,5.5,16,0.1,,106.4,74.2,752.6,3.7,173.9
Tetairoa McMillan,WR,CAR,16.9456366204,,0,0,0,0,0,0.9,3.8,0,,121.7,72.2,1001.3,5.9,208.1
Tucker Kraft,TE,GB,16.9456366204,,0,0,0,0,0,1.1,4.5,0,,91,65.4,778.5,5,173.7
Jayden Daniels,QB,WAS,16.395685864,,321.5,482,3578.6,21.7,10.7,117.7,627.2,4.7,,0,0,0,0,310.2
Quinshon Judkins,RB,CLE,16.1828214256,,0,0,0,0,0,272.3,1060.6,6.5,,37.9,29.6,203.6,0.9,200.4
Bhayshul Tuten,RB,JAX,15.5265670671,,0,0,0,0,0,223.6,937.5,6.9,,43.7,33,240.1,1,198.2
TreVeyon Henderson,RB,NE,15.3768090905,,0,0,0,0,0,182,792.4,6.3,,47.8,39.5,291.3,2,197.7
Sam LaPorta,TE,DET,14.7980437216,,0,0,0,0,0,0,0,0,,89.1,68.1,713.6,4.8,168.3
Terry McLaurin,WR,WAS,14.6169157187,,0,0,0,0,0,1,3.9,0,,106.5,72.5,956.3,5.4,200.9
Jameson Williams,WR,DET,14.4858780097,,0,0,0,0,0,6.5,42.2,0.7,,96.8,60.7,960.1,5.9,200.5
Kyle Pitts Sr.,TE,ATL,14.4581342585,,0,0,0,0,0,0,0,0,,101.3,70.4,765.9,3.4,167.4
Jalen Hurts,QB,PHI,14.35717594,,296.6,450.4,3417.3,22.1,10,98.9,411.3,8.2,,0,0,0,0,305.4
Caleb Williams,QB,CHI,13.6675835464,,331.1,540.9,3876.7,25.8,11.4,74.4,406,2.7,,0,0,0,0,303.7
David Montgomery,RB,HOU,13.5172721455,,0,0,0,0,0,212.6,888.3,7.1,,37.1,31.2,223.2,1,191
Davante Adams,WR,LAR,13.3973398898,,0,0,0,0,0,0,0,0,,107.4,58.9,831.3,9.2,197.2
Jaylen Warren,RB,PIT,13.0954650116,,0,0,0,0,0,174,757,4.2,,56.7,45.8,325.8,1.7,189.5
Trevor Lawrence,QB,JAX,12.9389710947,,337.3,539.9,3837.7,25,12.5,69.4,319.4,4.8,,0,0,0,0,301.8
Jadarian Price,RB,SEA,12.8413284027,,0,0,0,0,0,212.9,896.4,7.2,,37.7,28.6,211.6,1,188.6
George Kittle,TE,SF,12.5837956835,,0,0,0,0,0,0.6,2.8,0,,76.8,61.3,703.1,5.1,162.5
Travis Kelce,TE,KC,12.4030139721,,0,0,0,0,0,0.5,1,0,,96,68,692.6,4.1,162
DJ Moore,WR,BUF,12.0998878214,,0,0,0,0,0,6,30.5,0.1,,102.3,64,881.3,6.2,193
Justin Herbert,QB,LAC,11.9985719646,,344.1,518.3,3858.2,26.4,11.6,73.2,365.1,2.4,,0,0,0,0,299.2
Christian Watson,WR,GB,11.7250994418,,0,0,0,0,0,2.7,16.4,0.1,,99.1,58,883.2,7.2,191.8
D'Andre Swift,RB,CHI,11.6755031246,,0,0,0,0,0,191.8,858.8,6.9,,38.1,27.9,235.6,0.9,184.1
Parker Washington,WR,JAX,11.4741522847,,0,0,0,0,0,4.4,21.3,0,,114.9,68.1,889.2,5.3,191
